tra_loss,tra_miou,test_loss,test_miou
0.3532930638255744,0.7363101541996002,0.2515173200517893,0.766259279102087
0.3193355582911393,0.7851141341801348,0.2284685391932726,0.802808903157711
0.16774804710314192,0.8611746450950359,0.2710874602198601,0.7361903190612793
0.15013735266081218,0.8859041394858524,0.2446194775402546,0.789414931088686
0.1680388344002181,0.8676757894713303,0.35479650646448135,0.7037310916930437
0.15141291145620675,0.8678558366052036,0.3959647100418806,0.6789674460887909
0.15431889647553707,0.8755861685193819,0.24290944077074528,0.783355601131916
0.22859124685155935,0.8247709664805182,0.23580793337896466,0.8071166276931763
0.15380746999691272,0.8821058191102127,0.279073947109282,0.7214112058281898
0.16074367689675298,0.8595659465625368,0.4268349055200815,0.6947873495519161
0.1932173653923232,0.8584763757113753,0.23180349171161652,0.7835306078195572
0.1688146411344923,0.867635979734618,0.27267156541347504,0.751684594899416
0.15231319234288973,0.8771904706954956,0.2780851125717163,0.7572283744812012
0.1554779115550477,0.8725336132378414,0.2619573902338743,0.7583794519305229
0.16454886799228602,0.8711448990065476,0.2729127639904618,0.7434017434716225
0.15860888426159991,0.8684847190462309,0.34434612188488245,0.7068289835005999
0.1558351839153931,0.880646892662706,0.38255137484520674,0.6947579029947519
0.1669700818842855,0.8675189141569466,0.2554542226716876,0.7605610229074955
0.1258640781944168,0.8840194488393849,0.25893484801054,0.7765684351325035
0.14724449389453592,0.8763157519800909,0.38855824060738087,0.7010368444025517
0.1364782053078043,0.8879718081704502,0.3545392919331789,0.7185600027441978
0.1219319067253121,0.8954074136142073,0.31835445389151573,0.7082646153867245
0.12120909320897069,0.9017466162813121,0.21535691246390343,0.7986121512949467
0.1097851075745862,0.9086962095622358,0.35749106016010046,0.7334023043513298
0.16800950300590745,0.8881746304446253,0.5197048243135214,0.6739615313708782
0.24199500320286588,0.8178218274280943,0.3224464822560549,0.7652645893394947
0.16053646597368965,0.8729969509716692,0.27854595985263586,0.7495388872921467
0.15402732725287305,0.8640631581174916,0.36455628648400307,0.6972637623548508
0.15491942701668576,0.861245590037313,0.30489792209118605,0.729390811175108
0.15175745694030976,0.8808220234410516,0.33498278073966503,0.715007659047842
0.15025891376466588,0.8674635599399435,0.4055155776441097,0.6766390427947044
0.13367720911728925,0.8893884235414965,0.2739504911005497,0.7633197717368603
0.1262455939732749,0.8940928393396838,0.2390188705176115,0.756537027657032
0.13450098615782013,0.8993989496395506,0.33034242410212755,0.7296360917389393
0.12475461621993575,0.9018007989587455,0.28733016923069954,0.7850304134190083
0.13218145881747378,0.8971339299761015,0.3165936078876257,0.7204045429825783
0.11953657480149434,0.9004617086772261,0.2833534497767687,0.7301320433616638
