tra_loss,tra_miou,val_loss,val_miou
0.6935636658926267,0.38177773275890864,0.5856777321208607,0.5823036865754561
0.4657350689978213,0.5488265712518949,0.3672886856577613,0.5404515997930006
0.43968179580327627,0.6253278239353283,0.3518255271694877,0.5564042248509147
0.43942633351764165,0.6448151565886833,0.33841168677264993,0.6158732568675821
0.44164428598171956,0.6583279484027141,0.27945967289534485,0.7326310222799127
0.4425345554545119,0.6474119932264895,0.3341046192429282,0.5702509649775245
0.42866822996655024,0.6748662413777532,0.2856659001924775,0.6643812236460772
0.41121458121248194,0.7212880495432261,0.2960498265244744,0.6660344234921716
0.4128824738231865,0.723021135942356,0.29651647061109543,0.7193677452477542
0.42540306175077286,0.7048841279906195,0.2582037801092321,0.756643224846233
0.4246717006773562,0.7046776413917542,0.25053649802099576,0.7925187918272886
0.41657068681072545,0.7287843509300335,0.23679450967095114,0.801892261613499
0.40059755218995585,0.7764763703217378,0.22558050128546628,0.824013579975475
0.3968593091578097,0.7799105507296484,0.2242266677997329,0.835339836098931
0.3988647670359225,0.768306301252262,0.22513419796120038,0.817150890827179
0.40438905036127243,0.7591668415713955,0.2165330411358313,0.857105168429288
0.40324179707346736,0.7522037778351758,0.2170906121080572,0.8431230810555544
0.3970789393863162,0.7917639234581509,0.23606223545291208,0.8016609793359583
0.3970366225049302,0.7706165829220334,0.2298420715061101,0.80125415596095
0.3876036461946127,0.8070691968943622,0.25318499925461685,0.779289492151954
0.4138435407264813,0.7345977361137802,0.354035037485036,0.609185974706303
0.4084167786546656,0.7554833325179847,0.22621987421404233,0.8249603130600669
0.40001191561286514,0.7724375032089852,0.20825336399403485,0.854837490753694
0.395084541391682,0.8016920444127675,0.2262700782580809,0.8147467130964453
0.3839530791785266,0.827197566225722,0.1824572743339972,0.8820721154863184
0.3934411438735756,0.79479517646738,0.20423075285824863,0.8828982792117379
0.39053212951969457,0.8132368986671036,0.19444142485206778,0.8924512646415017
